errvel,time,vel,tel
1.59372460842,2364.81958,6.95906630745,HIRES
1.60074472427,2364.825101,5.01764978915,HIRES
1.65881490707,2364.830703,13.8117993134,HIRES
1.65322375298,2366.827579,1.15102952873,HIRES
1.63909459114,2367.852646,9.38927281888,HIRES
1.72369122505,2373.88815,-2.8206142559,HIRES
1.90769016743,2374.852412,-0.772990845772,HIRES
1.70926308632,2376.86382,-2.22291975276,HIRES
1.83856451511,2377.866073,0.146114601909,HIRES
1.64971470833,2378.834011,2.73955797325,HIRES
1.86253869534,2380.930797,7.5712277857,HIRES
1.68166136742,2382.88614,5.13792016843,HIRES
1.90146529675,2383.823529,0.368812261088,HIRES
1.6898881197,2384.799943,-1.48077159727,HIRES
1.68025052547,2384.828991,-2.73729544403,HIRES
1.71858930588,2384.83972,-5.68265795795,HIRES
1.71385204792,2388.95596,-3.91020322122,HIRES
1.64449453354,2395.857258,-5.63543248212,HIRES
1.76075088978,2402.898756,3.63521100016,HIRES
1.64997279644,2403.771319,3.53868966582,HIRES
1.46020889282,2411.755697,-3.75406847066,HIRES
1.78288114071,2412.7942,-0.1118160371,HIRES
1.63753068447,2420.803019,0.112751804596,HIRES
1.76023674011,2421.822804,-2.58785420021,HIRES
1.65680837631,2422.742125,3.02002938045,HIRES
1.98270010948,2429.761751,-13.0335898542,HIRES
1.87560796738,2429.81023,-10.9967785021,HIRES
1.70268392563,2432.732316,-12.064871545,HIRES
1.91337883472,2432.807239,-14.8672290114,HIRES
1.92995584011,2457.716902,-1.30861319026,HIRES
1.94434964657,2457.754804,-5.31977640223,HIRES
1.61746430397,2465.71074,4.87312072291,HIRES
