ti,rv,err,tel
2458780.4047328522,-3.408707650319778,1.829788137054104,TELESCOPE
2458782.1485356535,-2.693160591754909,0.19584739516784233,TELESCOPE
2458785.526955541,4.49153977781617,1.3375708191660465,TELESCOPE
2458786.444387667,0.20904432464260592,1.479125202350434,TELESCOPE
2458789.673784031,2.9185260710121157,1.682215914346721,TELESCOPE
2458790.448887198,1.8649102325218914,0.8164593927926758,TELESCOPE
2458792.4345651334,-4.232263979604095,1.6188898245106182,TELESCOPE
2458793.9589624167,-2.7575420761986593,0.29412630004188767,TELESCOPE
2458795.9530239464,7.074614709742552,0.4686927470005273,TELESCOPE
2458798.7440784806,-3.9964753321230244,1.2212321449526429,TELESCOPE
2458803.2091446053,-2.8097752072120166,0.32225833722278674,TELESCOPE
2458804.84089838,-4.24700530790804,0.27100345559557715,TELESCOPE
2458808.831090111,1.0765051328169606,1.5792788644489597,TELESCOPE
2458811.2959501566,-2.3447401713231946,1.6135794732357647,TELESCOPE
2458814.0829006187,-2.760234044675032,0.41173771129567416,TELESCOPE
2458816.700760967,1.0745372451306912,0.5544221102278224,TELESCOPE
2458817.9043225683,5.299266677672952,0.7652845218435218,TELESCOPE
2458818.2863102998,4.54641901935905,0.3776093660885296,TELESCOPE
2458826.830091175,-4.793512700239788,1.0979517714133054,TELESCOPE
2458826.926479089,-3.7622294846450735,0.7106940835880655,TELESCOPE
2458830.761374532,3.633063876769257,1.4125676104831455,TELESCOPE
2458831.6014180873,-1.3175856639022603,1.8567667415922646,TELESCOPE
2458832.63331355,-1.156486910562893,1.4549699738223922,TELESCOPE
2458837.228167397,-4.53612742308469,0.6512056720545936,TELESCOPE
2458838.6494495096,-6.207440087363535,1.7241081127806384,TELESCOPE
2458842.4337267377,2.202111999052594,0.628201174786007,TELESCOPE
2458845.2471171203,-1.4712695609272068,1.7753870715248359,TELESCOPE
2458855.351049188,-3.6420343311188494,1.5124770534643723,TELESCOPE
2458855.832132797,-3.100978355112259,1.3518359824736088,TELESCOPE
2458860.1351391217,-4.578770691695249,1.0650308069335304,TELESCOPE
2458862.627470868,2.0187271606092443,0.6316128838667792,TELESCOPE
2458865.310824107,-0.7803180093156392,1.5018003954700418,TELESCOPE
2458865.927113509,-1.5770446897263026,1.4891862270362628,TELESCOPE
